TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
2932,988,24,56,0.747,0.7,0.7479591836734694,0.7239795918367347,0.05363984674329502,0.09964412811387902,0.801654974489796,0.07776626748326657,0.02,0.02,5,rf,weight+threshold
3919,1,79,1,0.98,0.0125,0.9997448979591836,0.5061224489795918,0.5,0.02439024390243903,0.7831983418367348,0.10279963416432135,0.5,0.02,5,hgb,default
3357,563,36,44,0.85025,0.55,0.8563775510204081,0.7031887755102041,0.07248764415156507,0.12809315866084425,0.806889349489796,0.09887803606230666,0.5,0.02,5,hgb,weight
2720,1200,16,64,0.696,0.8,0.6938775510204082,0.7469387755102042,0.05063291139240506,0.09523809523809523,0.806498724489796,0.07965542749149722,0.5,0.02,5,hgb,undersample
3908,12,77,3,0.97775,0.0375,0.996938775510204,0.517219387755102,0.2,0.0631578947368421,0.7869738520408163,0.08826595929659753,0.5,0.02,5,hgb,smote
2482,1438,18,62,0.636,0.775,0.6331632653061224,0.7040816326530612,0.04133333333333333,0.07848101265822785,0.7831983418367348,0.10279963416432135,0.01012446443299267,0.02,5,hgb,threshold
2566,1354,16,64,0.6575,0.8,0.6545918367346939,0.727295918367347,0.045133991537376586,0.08544726301735646,0.806889349489796,0.09887803606230666,0.22569769534602208,0.02,5,hgb,weight+threshold
3916,4,78,2,0.9795,0.025,0.9989795918367347,0.5119897959183674,0.3333333333333333,0.046511627906976744,0.8605867346938775,0.13685369511212886,0.5,0.02,6,logreg,default
3029,891,17,63,0.773,0.7875,0.772704081632653,0.7801020408163265,0.0660377358490566,0.1218568665377176,0.8624075255102042,0.13615376058303022,0.5,0.02,6,logreg,weight
2994,926,16,64,0.7645,0.8,0.7637755102040816,0.7818877551020409,0.06464646464646465,0.11962616822429906,0.8495599489795919,0.12426285796622935,0.5,0.02,6,logreg,undersample
3042,878,16,64,0.7765,0.8,0.7760204081632653,0.7880102040816327,0.06794055201698514,0.12524461839530332,0.8566007653061224,0.13498017958128988,0.5,0.02,6,logreg,smote
3059,861,18,62,0.78025,0.775,0.7803571428571429,0.7776785714285714,0.06717226435536294,0.12362911266201394,0.8605867346938775,0.13685369511212886,0.02154737934162659,0.02,6,logreg,threshold
2695,1225,11,69,0.691,0.8625,0.6875,0.775,0.05332302936630603,0.10043668122270742,0.8624075255102042,0.13615376058303022,0.3923293065668856,0.02,6,logreg,weight+threshold
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.7990210459183673,0.07567915980295178,0.5,0.02,6,rf,default
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.801313775510204,0.07906839522282227,0.5,0.02,6,rf,weight
2826,1094,15,65,0.72275,0.8125,0.7209183673469388,0.7667091836734694,0.056082830025884385,0.10492332526230831,0.8333019770408163,0.14102188099587876,0.5,0.02,6,rf,undersample
3902,18,79,1,0.97575,0.0125,0.9954081632653061,0.5039540816326531,0.05263157894736842,0.020202020202020204,0.8123852040816326,0.09272882738639085,0.5,0.02,6,rf,smote
